Policy_Number,Insured_ID,Policy_Type,Effective_Date,Expiration_Date,Policy_Status,Payment_Status,Annual_Premium,Monthly_Premium,Payment_Method,Broker,Discounts_Applied
P8OI2J7N8,NB84QH61,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,7557,0,Invoice,Acme Insurance,None
PVVZTCONW,NB84QH61,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,3419,0,Credit Card,Acme Insurance,None
PIL7O907G,NB84QH61,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,8652,0,ACH,Acme Insurance,None
PG91FG4NH,Q2JS56HM,Agentic Workflow Uptime Insurance,2024-01-01,2025-01-01,Active,Paid,13063,0,Invoice,Acme Insurance,None
PIA1D1Q1Y,Q2JS56HM,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,17081,0,ACH,Acme Insurance,None
PPJKG5GWV,Q2JS56HM,Incident Response & AI Crisis Management,2024-01-01,2025-01-01,Active,Paid,4175,0,Invoice,Acme Insurance,None
PVPEXBSC1,A83C3DM5,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,7155,0,ACH,Acme Insurance,None
P9WH72OPU,0ZJN5CSV,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,5004,0,Invoice,Acme Insurance,None
PRC0TVCGG,O4C7V8SQ,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,10690,0,Credit Card,Acme Insurance,None
PW9VAILKB,O4C7V8SQ,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,6241,0,ACH,Acme Insurance,None
PVPH25SZU,02U8FYUR,Model & Data Security Insurance,2024-01-01,2025-01-01,Active,Paid,7696,0,ACH,Acme Insurance,None
PUI6T5SJ1,02U8FYUR,Compliance & Regulatory Shield,2024-01-01,2025-01-01,Active,Paid,6914,0,Credit Card,Acme Insurance,None
PJQN7S1IS,02U8FYUR,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,3200,0,Invoice,Acme Insurance,None
P5SOVM7CG,Q1K4FUUG,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,6727,0,Invoice,Acme Insurance,None
PVHGZL1DP,WSWXRC20,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,5239,0,ACH,Acme Insurance,None
PX6N3A0IN,WSWXRC20,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,17749,0,Credit Card,Acme Insurance,None
PRO0E86Y7,JAQHYIY8,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,11678,0,Credit Card,Acme Insurance,None
PB39D1Q8S,JAQHYIY8,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,14005,0,Credit Card,Acme Insurance,None
PE1U2LTH7,RJWC9G5X,Intellectual Property & Output Protection,2024-01-01,2025-01-01,Active,Paid,19758,0,ACH,Acme Insurance,None
PN5MQU1UT,1NKVH9B0,AI Infrastructure & Ops Protection,2024-01-01,2025-01-01,Active,Paid,6054,0,Invoice,Acme Insurance,None
PRH3UMZO7,1NKVH9B0,Autonomous System & Robotics Coverage,2024-01-01,2025-01-01,Active,Paid,13345,0,Credit Card,Acme Insurance,None
P5E6RT7D9,5UNRUQ08,Agentic AI Liability Insurance,2024-01-01,2025-01-01,Active,Paid,17926,0,Invoice,Acme Insurance,None
PM5DW2IG2,5UNRUQ08,Synthetic Data & Dataset Integrity Coverage,2024-01-01,2025-01-01,Active,Paid,4222,0,ACH,Acme Insurance,None
